Record,Group,Matrix,Nanomaterial,Dose,Units,Organism,Endpoint,Response,Direction,Link
400,89,Dispersive,NanoSilver,0,mg/L,Scirpus syperinus,Root Length,0,Less,http://dx.doi.org/10.1371/journal.pone.0047674
401,89,Dispersive,NanoSilver,1,mg/L,Scirpus syperinus,Root Length,0.268041,Less,http://dx.doi.org/10.1371/journal.pone.0047674
402,89,Dispersive,NanoSilver,10,mg/L,Scirpus syperinus,Root Length,0.793814,Less,http://dx.doi.org/10.1371/journal.pone.0047674
403,89,Dispersive,NanoSilver,40,mg/L,Scirpus syperinus,Root Length,0.927835,Less,http://dx.doi.org/10.1371/journal.pone.0047674
408,91,Dispersive,NanoSilver,0,mg/L,Lolium multiflorum,Root Length,0,Less,http://dx.doi.org/10.1371/journal.pone.0047674
409,91,Dispersive,NanoSilver,1,mg/L,Lolium multiflorum,Root Length,0.034388,Less,http://dx.doi.org/10.1371/journal.pone.0047674
410,91,Dispersive,NanoSilver,10,mg/L,Lolium multiflorum,Root Length,0.488308,Less,http://dx.doi.org/10.1371/journal.pone.0047674
411,91,Dispersive,NanoSilver,40,mg/L,Lolium multiflorum,Root Length,0.896836,Less,http://dx.doi.org/10.1371/journal.pone.0047674
412,92,Dispersive,NanoSilver,0,mg/L,Panicum virgatum,Root Length,0,Less,http://dx.doi.org/10.1371/journal.pone.0047674
413,92,Dispersive,NanoSilver,1,mg/L,Panicum virgatum,Root Length,0.495935,Less,http://dx.doi.org/10.1371/journal.pone.0047674
414,92,Dispersive,NanoSilver,10,mg/L,Panicum virgatum,Root Length,0.829268,Less,http://dx.doi.org/10.1371/journal.pone.0047674
415,92,Dispersive,NanoSilver,40,mg/L,Panicum virgatum,Root Length,0.821138,Less,http://dx.doi.org/10.1371/journal.pone.0047674
416,93,Dispersive,NanoSilver,0,mg/L,Eupatorium fistulosum,Root Length,0,Less,http://dx.doi.org/10.1371/journal.pone.0047674
417,93,Dispersive,NanoSilver,1,mg/L,Eupatorium fistulosum,Root Length,0.035623,Less,http://dx.doi.org/10.1371/journal.pone.0047674
418,93,Dispersive,NanoSilver,10,mg/L,Eupatorium fistulosum,Root Length,0.796438,Less,http://dx.doi.org/10.1371/journal.pone.0047674
419,93,Dispersive,NanoSilver,40,mg/L,Eupatorium fistulosum,Root Length,0.870229,Less,http://dx.doi.org/10.1371/journal.pone.0047674
420,94,Dispersive,NanoSilver,0,mg/L,Lobelia cardinalis,Root Length,0,Less,http://dx.doi.org/10.1371/journal.pone.0047674
421,94,Dispersive,NanoSilver,1,mg/L,Lobelia cardinalis,Root Length,0.04,Less,http://dx.doi.org/10.1371/journal.pone.0047674
422,94,Dispersive,NanoSilver,10,mg/L,Lobelia cardinalis,Root Length,0.04,Less,http://dx.doi.org/10.1371/journal.pone.0047674
423,94,Dispersive,NanoSilver,40,mg/L,Lobelia cardinalis,Root Length,0.613333,Less,http://dx.doi.org/10.1371/journal.pone.0047674
424,95,Dispersive,NanoSilver,0,mg/L,Phytolacca americana,Root Length,0,Less,http://dx.doi.org/10.1371/journal.pone.0047674
425,95,Dispersive,NanoSilver,1,mg/L,Phytolacca americana,Root Length,0.214286,Less,http://dx.doi.org/10.1371/journal.pone.0047674
426,95,Dispersive,NanoSilver,10,mg/L,Phytolacca americana,Root Length,2.791667,Less,http://dx.doi.org/10.1371/journal.pone.0047674
427,95,Dispersive,NanoSilver,40,mg/L,Phytolacca americana,Root Length,0.196429,Less,http://dx.doi.org/10.1371/journal.pone.0047674
428,96,Dispersive,NanoSilver,0,mg/L,Lolium multiflorum,Shoot Mass,0,Less,http://dx.doi.org/10.1021/es103995x
429,96,Dispersive,NanoSilver,1,mg/L,Lolium multiflorum,Shoot Mass,0.054939,Less,http://dx.doi.org/10.1021/es103995x
430,96,Dispersive,NanoSilver,5,mg/L,Lolium multiflorum,Shoot Mass,0.179427,Less,http://dx.doi.org/10.1021/es103995x
431,96,Dispersive,NanoSilver,10,mg/L,Lolium multiflorum,Shoot Mass,0.179427,Less,http://dx.doi.org/10.1021/es103995x
432,96,Dispersive,NanoSilver,20,mg/L,Lolium multiflorum,Shoot Mass,0.22969,Less,http://dx.doi.org/10.1021/es103995x
433,96,Dispersive,NanoSilver,40,mg/L,Lolium multiflorum,Shoot Mass,0.253068,Less,http://dx.doi.org/10.1021/es103995x
434,97,Dispersive,NanoSilver,0,mg/L,Lolium multiflorum,Root Mass,0,Less,http://dx.doi.org/10.1021/es103995x
435,97,Dispersive,NanoSilver,1,mg/L,Lolium multiflorum,Root Mass,0.010881,Less,http://dx.doi.org/10.1021/es103995x
436,97,Dispersive,NanoSilver,5,mg/L,Lolium multiflorum,Root Mass,0.208923,Less,http://dx.doi.org/10.1021/es103995x
437,97,Dispersive,NanoSilver,10,mg/L,Lolium multiflorum,Root Mass,0.23667,Less,http://dx.doi.org/10.1021/es103995x
438,97,Dispersive,NanoSilver,20,mg/L,Lolium multiflorum,Root Mass,0.5,Less,http://dx.doi.org/10.1021/es103995x
439,97,Dispersive,NanoSilver,40,mg/L,Lolium multiflorum,Root Mass,0.76605,Less,http://dx.doi.org/10.1021/es103995x
440,98,Dispersive,NanoSilver,0,mg/L,Lolium multiflorum,Shoot Length,0,Less,http://dx.doi.org/10.1021/es103995x
441,98,Dispersive,NanoSilver,1,mg/L,Lolium multiflorum,Shoot Length,0.038674,Less,http://dx.doi.org/10.1021/es103995x
442,98,Dispersive,NanoSilver,5,mg/L,Lolium multiflorum,Shoot Length,0.14733,Less,http://dx.doi.org/10.1021/es103995x
443,98,Dispersive,NanoSilver,10,mg/L,Lolium multiflorum,Shoot Length,0.268877,Less,http://dx.doi.org/10.1021/es103995x
444,98,Dispersive,NanoSilver,20,mg/L,Lolium multiflorum,Shoot Length,0.303867,Less,http://dx.doi.org/10.1021/es103995x
445,98,Dispersive,NanoSilver,40,mg/L,Lolium multiflorum,Shoot Length,0.372007,Less,http://dx.doi.org/10.1021/es103995x
446,99,Dispersive,NanoSilver,0,mg/L,Lolium multiflorum,Root Length,0,Less,http://dx.doi.org/10.1021/es103995x
447,99,Dispersive,NanoSilver,1,mg/L,Lolium multiflorum,Root Length,0.034388,Less,http://dx.doi.org/10.1021/es103995x
448,99,Dispersive,NanoSilver,5,mg/L,Lolium multiflorum,Root Length,0.298487,Less,http://dx.doi.org/10.1021/es103995x
449,99,Dispersive,NanoSilver,10,mg/L,Lolium multiflorum,Root Length,0.489684,Less,http://dx.doi.org/10.1021/es103995x
450,99,Dispersive,NanoSilver,20,mg/L,Lolium multiflorum,Root Length,0.744154,Less,http://dx.doi.org/10.1021/es103995x
451,99,Dispersive,NanoSilver,40,mg/L,Lolium multiflorum,Root Length,0.906465,Less,http://dx.doi.org/10.1021/es103995x
483,105,Polyurethane,NanoSilver,0.001,mg/L,Caenorhabditis elegans,Mortality,0,More,N/A
484,105,Polyurethane,NanoSilver,0.25,mg/L,Caenorhabditis elegans,Mortality,1,More,N/A
485,105,Polyurethane,NanoSilver,2.5,mg/L,Caenorhabditis elegans,Mortality,1,More,N/A
486,105,Polyurethane,NanoSilver,10,mg/L,Caenorhabditis elegans,Mortality,1,More,N/A
487,105,Polyurethane,NanoSilver,25,mg/L,Caenorhabditis elegans,Mortality,4.353823,More,N/A
488,105,Polyurethane,NanoSilver,100,mg/L,Caenorhabditis elegans,Mortality,13.992504,More,N/A
489,105,Polyurethane,NanoSilver,250,mg/L,Caenorhabditis elegans,Mortality,13.992504,More,N/A
525,111,Polyurethane,NanoSilver,0.001,mg/L,Caenorhabditis elegans,Mortality,0,More,N/A
526,111,Polyurethane,NanoSilver,0.25,mg/L,Caenorhabditis elegans,Mortality,1,More,N/A
527,111,Polyurethane,NanoSilver,2.5,mg/L,Caenorhabditis elegans,Mortality,0.998501,More,N/A
528,111,Polyurethane,NanoSilver,10,mg/L,Caenorhabditis elegans,Mortality,0,More,N/A
529,111,Polyurethane,NanoSilver,25,mg/L,Caenorhabditis elegans,Mortality,3.685157,More,N/A
530,111,Polyurethane,NanoSilver,100,mg/L,Caenorhabditis elegans,Mortality,13.992504,More,N/A
531,111,Polyurethane,NanoSilver,250,mg/L,Caenorhabditis elegans,Mortality,13.992504,More,N/A
539,113,Thermoplastic,NanoSilver,0,mg/L,Caenorhabditis elegans,Mortality,0,More,N/A
540,113,Thermoplastic,NanoSilver,0.25,mg/L,Caenorhabditis elegans,Mortality,1,More,N/A
541,113,Thermoplastic,NanoSilver,2.5,mg/L,Caenorhabditis elegans,Mortality,1,More,N/A
542,113,Thermoplastic,NanoSilver,10,mg/L,Caenorhabditis elegans,Mortality,1,More,N/A
543,113,Thermoplastic,NanoSilver,25,mg/L,Caenorhabditis elegans,Mortality,3.997001,More,N/A
544,113,Thermoplastic,NanoSilver,100,mg/L,Caenorhabditis elegans,Mortality,13.992504,More,N/A
545,113,Thermoplastic,NanoSilver,250,mg/L,Caenorhabditis elegans,Mortality,13.992504,More,N/A
581,119,Thermoplastic,NanoSilver,0,mg/L,Caenorhabditis elegans,Mortality,0,More,N/A
582,119,Thermoplastic,NanoSilver,0.25,mg/L,Caenorhabditis elegans,Mortality,1,More,N/A
583,119,Thermoplastic,NanoSilver,2.5,mg/L,Caenorhabditis elegans,Mortality,1.267007,More,N/A
584,119,Thermoplastic,NanoSilver,10,mg/L,Caenorhabditis elegans,Mortality,0.062925,More,N/A
585,119,Thermoplastic,NanoSilver,25,mg/L,Caenorhabditis elegans,Mortality,4.668367,More,N/A
586,119,Thermoplastic,NanoSilver,100,mg/L,Caenorhabditis elegans,Mortality,16.006803,More,N/A
587,119,Thermoplastic,NanoSilver,250,mg/L,Caenorhabditis elegans,Mortality,16.006803,More,N/A
2001,2000,Dispersive,Carbon Nanotubes,0,mg/l,Thalassiosira pseudonana,Growth,0,Less,http://dx.doi.org/10.2217/nnm.10.59
2002,2000,Dispersive,Carbon Nanotubes,1,mg/l,Thalassiosira pseudonana,Growth,0.078846,Less,http://dx.doi.org/10.2217/nnm.10.59
2003,2000,Dispersive,Carbon Nanotubes,10,mg/l,Thalassiosira pseudonana,Growth,0.059615,Less,http://dx.doi.org/10.2217/nnm.10.59
2004,2000,Dispersive,Carbon Nanotubes,50,mg/l,Thalassiosira pseudonana,Growth,0.035577,Less,http://dx.doi.org/10.2217/nnm.10.59
2005,2000,Dispersive,Carbon Nanotubes,100,mg/l,Thalassiosira pseudonana,Growth,0.198077,Less,http://dx.doi.org/10.2217/nnm.10.59
2006,2001,Dispersive,Carbon Nanotubes,0,mg/l,Thalassiosira pseudonana,Growth,0,Less,http://dx.doi.org/10.2217/nnm.10.59
2007,2001,Dispersive,Carbon Nanotubes,1,mg/l,Thalassiosira pseudonana,Growth,0.028495,Less,http://dx.doi.org/10.2217/nnm.10.59
2008,2001,Dispersive,Carbon Nanotubes,10,mg/l,Thalassiosira pseudonana,Growth,0,Less,http://dx.doi.org/10.2217/nnm.10.59
2009,2001,Dispersive,Carbon Nanotubes,50,mg/l,Thalassiosira pseudonana,Growth,0.020481,Less,http://dx.doi.org/10.2217/nnm.10.59
2010,2001,Dispersive,Carbon Nanotubes,100,mg/l,Thalassiosira pseudonana,Growth,0.121995,Less,http://dx.doi.org/10.2217/nnm.10.59
2011,2002,Dispersive,Carbon Nanotubes,0,mg/l,Thalassiosira pseudonana,Growth,0,Less,http://dx.doi.org/10.2217/nnm.10.59
2012,2002,Dispersive,Carbon Nanotubes,1,mg/l,Thalassiosira pseudonana,Growth,0.269129,Less,http://dx.doi.org/10.2217/nnm.10.59
2013,2002,Dispersive,Carbon Nanotubes,10,mg/l,Thalassiosira pseudonana,Growth,0.498681,Less,http://dx.doi.org/10.2217/nnm.10.59
2014,2002,Dispersive,Carbon Nanotubes,50,mg/l,Thalassiosira pseudonana,Growth,0.703166,Less,http://dx.doi.org/10.2217/nnm.10.59
2015,2002,Dispersive,Carbon Nanotubes,100,mg/l,Thalassiosira pseudonana,Growth,0.939314,Less,http://dx.doi.org/10.2217/nnm.10.59
2016,2003,Dispersive,Carbon Nanotubes,0,mg/l,Thalassiosira pseudonana,Growth,0,Less,http://dx.doi.org/10.2217/nnm.10.59
2017,2003,Dispersive,Carbon Nanotubes,1,mg/l,Thalassiosira pseudonana,Growth,0.090361,Less,http://dx.doi.org/10.2217/nnm.10.59
2018,2003,Dispersive,Carbon Nanotubes,10,mg/l,Thalassiosira pseudonana,Growth,0.273494,Less,http://dx.doi.org/10.2217/nnm.10.59
2019,2003,Dispersive,Carbon Nanotubes,50,mg/l,Thalassiosira pseudonana,Growth,0.577108,Less,http://dx.doi.org/10.2217/nnm.10.59
2020,2003,Dispersive,Carbon Nanotubes,100,mg/l,Thalassiosira pseudonana,Growth,0.83012,Less,http://dx.doi.org/10.2217/nnm.10.59
2022,2004,Dispersive,Carbon Nanotubes,0,mg/l,Taranis japonicus,Mortality,0,Less,http://dx.doi.org/10.2217/nnm.10.59
2023,2004,Dispersive,Carbon Nanotubes,1,mg/l,Taranis japonicus,Mortality,0.345455,Less,http://dx.doi.org/10.2217/nnm.10.59
2024,2004,Dispersive,Carbon Nanotubes,10,mg/l,Taranis japonicus,Mortality,0.027273,Less,http://dx.doi.org/10.2217/nnm.10.59
2025,2004,Dispersive,Carbon Nanotubes,30,mg/l,Taranis japonicus,Mortality,0.609091,Less,http://dx.doi.org/10.2217/nnm.10.59
2026,2004,Dispersive,Carbon Nanotubes,50,mg/l,Taranis japonicus,Mortality,1.009091,Less,http://dx.doi.org/10.2217/nnm.10.59
2027,2004,Dispersive,Carbon Nanotubes,100,mg/l,Taranis japonicus,Mortality,1.072727,Less,http://dx.doi.org/10.2217/nnm.10.59
2029,2005,Dispersive,Carbon Nanotubes,0,mg/l,Taranis japonicus,Mortality,0,Less,http://dx.doi.org/10.2217/nnm.10.59
2030,2005,Dispersive,Carbon Nanotubes,1,mg/l,Taranis japonicus,Mortality,0.886792,Less,http://dx.doi.org/10.2217/nnm.10.59
2031,2005,Dispersive,Carbon Nanotubes,10,mg/l,Taranis japonicus,Mortality,0.603774,Less,http://dx.doi.org/10.2217/nnm.10.59
2032,2005,Dispersive,Carbon Nanotubes,30,mg/l,Taranis japonicus,Mortality,1.207547,Less,http://dx.doi.org/10.2217/nnm.10.59
2033,2005,Dispersive,Carbon Nanotubes,50,mg/l,Taranis japonicus,Mortality,1.283019,Less,http://dx.doi.org/10.2217/nnm.10.59
2034,2005,Dispersive,Carbon Nanotubes,100,mg/l,Taranis japonicus,Mortality,1.45283,Less,http://dx.doi.org/10.2217/nnm.10.59
2036,2006,Dispersive,Carbon Nanotubes,0,mg/l,Taranis japonicus,Mortality,0,Less,http://dx.doi.org/10.2217/nnm.10.59
2037,2006,Dispersive,Carbon Nanotubes,1,mg/l,Taranis japonicus,Mortality,0.345455,Less,http://dx.doi.org/10.2217/nnm.10.59
2038,2006,Dispersive,Carbon Nanotubes,10,mg/l,Taranis japonicus,Mortality,0.027273,Less,http://dx.doi.org/10.2217/nnm.10.59
2039,2006,Dispersive,Carbon Nanotubes,30,mg/l,Taranis japonicus,Mortality,0.609091,Less,http://dx.doi.org/10.2217/nnm.10.59
2040,2006,Dispersive,Carbon Nanotubes,50,mg/l,Taranis japonicus,Mortality,1.009091,Less,http://dx.doi.org/10.2217/nnm.10.59
2041,2006,Dispersive,Carbon Nanotubes,100,mg/l,Taranis japonicus,Mortality,1.072727,Less,http://dx.doi.org/10.2217/nnm.10.59
2043,2007,Dispersive,Carbon Nanotubes,0,mg/l,Taranis japonicus,Mortality,0,Less,http://dx.doi.org/10.2217/nnm.10.59
2044,2007,Dispersive,Carbon Nanotubes,1,mg/l,Taranis japonicus,Mortality,0.154762,Less,http://dx.doi.org/10.2217/nnm.10.59
2045,2007,Dispersive,Carbon Nanotubes,10,mg/l,Taranis japonicus,Mortality,0,Less,http://dx.doi.org/10.2217/nnm.10.59
2046,2007,Dispersive,Carbon Nanotubes,30,mg/l,Taranis japonicus,Mortality,0.333333,Less,http://dx.doi.org/10.2217/nnm.10.59
2047,2007,Dispersive,Carbon Nanotubes,50,mg/l,Taranis japonicus,Mortality,0.357143,Less,http://dx.doi.org/10.2217/nnm.10.59
2048,2007,Dispersive,Carbon Nanotubes,100,mg/l,Taranis japonicus,Mortality,0.571429,Less,http://dx.doi.org/10.2217/nnm.10.59
2049,2008,Dispersive,Carbon Nanotubes,0,mg/l,Taranis japonicus,Development time,0,More,http://dx.doi.org/10.2217/nnm.10.59
2050,2008,Dispersive,Carbon Nanotubes,0.1,mg/l,Taranis japonicus,Development time,0.016736,More,http://dx.doi.org/10.2217/nnm.10.59
2051,2008,Dispersive,Carbon Nanotubes,1,mg/l,Taranis japonicus,Development time,0.027615,More,http://dx.doi.org/10.2217/nnm.10.59
2052,2008,Dispersive,Carbon Nanotubes,10,mg/l,Taranis japonicus,Development time,0.046862,More,http://dx.doi.org/10.2217/nnm.10.59
2053,2008,Dispersive,Carbon Nanotubes,30,mg/l,Taranis japonicus,Development time,0.074644,More,http://dx.doi.org/10.2217/nnm.10.59
2054,2008,Dispersive,Carbon Nanotubes,50,mg/l,Taranis japonicus,Development time,0.094059,More,http://dx.doi.org/10.2217/nnm.10.59
2055,2008,Dispersive,Carbon Nanotubes,100,mg/l,Taranis japonicus,Development time,0.126695,More,http://dx.doi.org/10.2217/nnm.10.59
2056,2009,Dispersive,Carbon Nanotubes,0,mg/l,Taranis japonicus,Development time,0,More,http://dx.doi.org/10.2217/nnm.10.59
2057,2009,Dispersive,Carbon Nanotubes,0.1,mg/l,Taranis japonicus,Development time,0.001157,More,http://dx.doi.org/10.2217/nnm.10.59
2058,2009,Dispersive,Carbon Nanotubes,1,mg/l,Taranis japonicus,Development time,0.013554,More,http://dx.doi.org/10.2217/nnm.10.59
2059,2009,Dispersive,Carbon Nanotubes,10,mg/l,Taranis japonicus,Development time,0.026116,More,http://dx.doi.org/10.2217/nnm.10.59
2060,2009,Dispersive,Carbon Nanotubes,30,mg/l,Taranis japonicus,Development time,0.055537,More,http://dx.doi.org/10.2217/nnm.10.59
2061,2009,Dispersive,Carbon Nanotubes,50,mg/l,Taranis japonicus,Development time,0.038182,More,http://dx.doi.org/10.2217/nnm.10.59
2062,2009,Dispersive,Carbon Nanotubes,100,mg/l,Taranis japonicus,Development time,0.08595,More,http://dx.doi.org/10.2217/nnm.10.59
2063,2010,Dispersive,Carbon Nanotubes,0,mg/l,Taranis japonicus,Reproduction time,0,More,http://dx.doi.org/10.2217/nnm.10.59
2064,2010,Dispersive,Carbon Nanotubes,0.1,mg/l,Taranis japonicus,Reproduction time,0.031835,More,http://dx.doi.org/10.2217/nnm.10.59
2065,2010,Dispersive,Carbon Nanotubes,1,mg/l,Taranis japonicus,Reproduction time,0.032571,More,http://dx.doi.org/10.2217/nnm.10.59
2066,2010,Dispersive,Carbon Nanotubes,10,mg/l,Taranis japonicus,Reproduction time,0.080257,More,http://dx.doi.org/10.2217/nnm.10.59
2067,2010,Dispersive,Carbon Nanotubes,30,mg/l,Taranis japonicus,Reproduction time,0.105605,More,http://dx.doi.org/10.2217/nnm.10.59
2068,2010,Dispersive,Carbon Nanotubes,50,mg/l,Taranis japonicus,Reproduction time,0.183387,More,http://dx.doi.org/10.2217/nnm.10.59
2069,2010,Dispersive,Carbon Nanotubes,100,mg/l,Taranis japonicus,Reproduction time,0.217496,More,http://dx.doi.org/10.2217/nnm.10.59
2070,2011,Dispersive,Carbon Nanotubes,0,mg/l,Taranis japonicus,Reproduction time,0,More,http://dx.doi.org/10.2217/nnm.10.59
2071,2011,Dispersive,Carbon Nanotubes,0.1,mg/l,Taranis japonicus,Reproduction time,0.012493,More,http://dx.doi.org/10.2217/nnm.10.59
2072,2011,Dispersive,Carbon Nanotubes,1,mg/l,Taranis japonicus,Reproduction time,0.012493,More,http://dx.doi.org/10.2217/nnm.10.59
2073,2011,Dispersive,Carbon Nanotubes,10,mg/l,Taranis japonicus,Reproduction time,0.040882,More,http://dx.doi.org/10.2217/nnm.10.59
2074,2011,Dispersive,Carbon Nanotubes,30,mg/l,Taranis japonicus,Reproduction time,0.068223,More,http://dx.doi.org/10.2217/nnm.10.59
2075,2011,Dispersive,Carbon Nanotubes,50,mg/l,Taranis japonicus,Reproduction time,0.088632,More,http://dx.doi.org/10.2217/nnm.10.59
2076,2011,Dispersive,Carbon Nanotubes,100,mg/l,Taranis japonicus,Reproduction time,0.09792,More,http://dx.doi.org/10.2217/nnm.10.59
2077,2012,Dispersive,Carbon Nanotubes,0,mg/l,Taranis japonicus,Intrinsic rate of increase,0,Less,http://dx.doi.org/10.2217/nnm.10.59
2078,2012,Dispersive,Carbon Nanotubes,0.1,mg/l,Taranis japonicus,Intrinsic rate of increase,0.083333,Less,http://dx.doi.org/10.2217/nnm.10.59
2079,2012,Dispersive,Carbon Nanotubes,1,mg/l,Taranis japonicus,Intrinsic rate of increase,0.1,Less,http://dx.doi.org/10.2217/nnm.10.59
2080,2012,Dispersive,Carbon Nanotubes,10,mg/l,Taranis japonicus,Intrinsic rate of increase,0.233333,Less,http://dx.doi.org/10.2217/nnm.10.59
2081,2012,Dispersive,Carbon Nanotubes,30,mg/l,Taranis japonicus,Intrinsic rate of increase,0.15,Less,http://dx.doi.org/10.2217/nnm.10.59
2082,2012,Dispersive,Carbon Nanotubes,50,mg/l,Taranis japonicus,Intrinsic rate of increase,0.3,Less,http://dx.doi.org/10.2217/nnm.10.59
2083,2012,Dispersive,Carbon Nanotubes,100,mg/l,Taranis japonicus,Intrinsic rate of increase,0.466667,Less,http://dx.doi.org/10.2217/nnm.10.59
2084,2013,Dispersive,Carbon Nanotubes,0,mg/l,Taranis japonicus,Intrinsic rate of increase,0,Less,http://dx.doi.org/10.2217/nnm.10.59
2085,2013,Dispersive,Carbon Nanotubes,0.1,mg/l,Taranis japonicus,Intrinsic rate of increase,0.169231,Less,http://dx.doi.org/10.2217/nnm.10.59
2086,2013,Dispersive,Carbon Nanotubes,1,mg/l,Taranis japonicus,Intrinsic rate of increase,0.169231,Less,http://dx.doi.org/10.2217/nnm.10.59
2087,2013,Dispersive,Carbon Nanotubes,10,mg/l,Taranis japonicus,Intrinsic rate of increase,0.338462,Less,http://dx.doi.org/10.2217/nnm.10.59
2088,2013,Dispersive,Carbon Nanotubes,30,mg/l,Taranis japonicus,Intrinsic rate of increase,0.307692,Less,http://dx.doi.org/10.2217/nnm.10.59
2089,2013,Dispersive,Carbon Nanotubes,50,mg/l,Taranis japonicus,Intrinsic rate of increase,0.430769,Less,http://dx.doi.org/10.2217/nnm.10.59
2090,2013,Dispersive,Carbon Nanotubes,100,mg/l,Taranis japonicus,Intrinsic rate of increase,0.569231,Less,http://dx.doi.org/10.2217/nnm.10.59
2091,2014,Dispersive,Carbon Nanotubes,10,mg/l,Oryzias melastigma,Mortality,0,More,http://dx.doi.org/10.2217/nnm.10.59
2092,2014,Dispersive,Carbon Nanotubes,50,mg/l,Oryzias melastigma,Mortality,0.201201,More,http://dx.doi.org/10.2217/nnm.10.59
2093,2014,Dispersive,Carbon Nanotubes,100,mg/l,Oryzias melastigma,Mortality,0.492492,More,http://dx.doi.org/10.2217/nnm.10.59
2094,2015,Dispersive,Carbon Nanotubes,0,mg/l,Oryzias melastigma,Mortality,0,More,http://dx.doi.org/10.2217/nnm.10.59
2095,2015,Dispersive,Carbon Nanotubes,10,mg/l,Oryzias melastigma,Mortality,0.012048,More,http://dx.doi.org/10.2217/nnm.10.59
2096,2015,Dispersive,Carbon Nanotubes,50,mg/l,Oryzias melastigma,Mortality,0.421687,More,http://dx.doi.org/10.2217/nnm.10.59
2097,2015,Dispersive,Carbon Nanotubes,100,mg/l,Oryzias melastigma,Mortality,1.018072,More,http://dx.doi.org/10.2217/nnm.10.59
2198,2016,Dispersive,Carbon Nanotubes,5,mg/l,Chlorella,Inhibition ratio,0,More,http://dx.doi.org/10.1021/es301802g
2199,2016,Dispersive,Carbon Nanotubes,10,mg/l,Chlorella,Inhibition ratio,18.178,More,http://dx.doi.org/10.1021/es301802g
2200,2016,Dispersive,Carbon Nanotubes,20,mg/l,Chlorella,Inhibition ratio,31.243,More,http://dx.doi.org/10.1021/es301802g
2201,2016,Dispersive,Carbon Nanotubes,50,mg/l,Chlorella,Inhibition ratio,75.771,More,http://dx.doi.org/10.1021/es301802g
2202,2016,Dispersive,Carbon Nanotubes,100,mg/l,Chlorella,Inhibition ratio,97.747,More,http://dx.doi.org/10.1021/es301802g
2203,2017,Dispersive,Carbon Nanotubes,5,mg/l,Chlorella,Inhibition ratio,0.177,More,http://dx.doi.org/10.1021/es301802g
2204,2017,Dispersive,Carbon Nanotubes,10,mg/l,Chlorella,Inhibition ratio,44.669,More,http://dx.doi.org/10.1021/es301802g
2205,2017,Dispersive,Carbon Nanotubes,20,mg/l,Chlorella,Inhibition ratio,95.075,More,http://dx.doi.org/10.1021/es301802g
2206,2017,Dispersive,Carbon Nanotubes,50,mg/l,Chlorella,Inhibition ratio,99.655,More,http://dx.doi.org/10.1021/es301802g
2207,2017,Dispersive,Carbon Nanotubes,100,mg/l,Chlorella,Inhibition ratio,99.948,More,http://dx.doi.org/10.1021/es301802g
2208,2018,Dispersive,Carbon Nanotubes,5,mg/l,Chlorella,Inhibition ratio,6.195,More,http://dx.doi.org/10.1021/es301802g
2209,2018,Dispersive,Carbon Nanotubes,10,mg/l,Chlorella,Inhibition ratio,43.147,More,http://dx.doi.org/10.1021/es301802g
2210,2018,Dispersive,Carbon Nanotubes,20,mg/l,Chlorella,Inhibition ratio,90.014,More,http://dx.doi.org/10.1021/es301802g
2211,2018,Dispersive,Carbon Nanotubes,50,mg/l,Chlorella,Inhibition ratio,98.829,More,http://dx.doi.org/10.1021/es301802g
2212,2018,Dispersive,Carbon Nanotubes,100,mg/l,Chlorella,Inhibition ratio,100.004,More,http://dx.doi.org/10.1021/es301802g
2213,2019,Dispersive,Carbon Nanotubes,5,mg/l,Chlorella,Inhibition ratio,0.031,More,http://dx.doi.org/10.1021/es301802g
2214,2019,Dispersive,Carbon Nanotubes,10,mg/l,Chlorella,Inhibition ratio,3.457,More,http://dx.doi.org/10.1021/es301802g
2215,2019,Dispersive,Carbon Nanotubes,20,mg/l,Chlorella,Inhibition ratio,5.781,More,http://dx.doi.org/10.1021/es301802g
2216,2019,Dispersive,Carbon Nanotubes,50,mg/l,Chlorella,Inhibition ratio,25.115,More,http://dx.doi.org/10.1021/es301802g
2217,2019,Dispersive,Carbon Nanotubes,100,mg/l,Chlorella,Inhibition ratio,76.073,More,http://dx.doi.org/10.1021/es301802g
2218,2020,Dispersive,Carbon Nanotubes,5,mg/l,Chlorella,Inhibition ratio,9.241,More,http://dx.doi.org/10.1021/es301802g
2219,2020,Dispersive,Carbon Nanotubes,10,mg/l,Chlorella,Inhibition ratio,11.969,More,http://dx.doi.org/10.1021/es301802g
2220,2020,Dispersive,Carbon Nanotubes,20,mg/l,Chlorella,Inhibition ratio,40.602,More,http://dx.doi.org/10.1021/es301802g
2221,2020,Dispersive,Carbon Nanotubes,50,mg/l,Chlorella,Inhibition ratio,60.179,More,http://dx.doi.org/10.1021/es301802g
2222,2020,Dispersive,Carbon Nanotubes,100,mg/l,Chlorella,Inhibition ratio,78.834,More,http://dx.doi.org/10.1021/es301802g
2223,2021,Dispersive,Carbon Nanotubes,5,mg/l,Chlorella,Inhibition ratio,6.496,More,http://dx.doi.org/10.1021/es301802g
2224,2021,Dispersive,Carbon Nanotubes,10,mg/l,Chlorella,Inhibition ratio,9.53,More,http://dx.doi.org/10.1021/es301802g
2225,2021,Dispersive,Carbon Nanotubes,20,mg/l,Chlorella,Inhibition ratio,35.675,More,http://dx.doi.org/10.1021/es301802g
2226,2021,Dispersive,Carbon Nanotubes,50,mg/l,Chlorella,Inhibition ratio,51.911,More,http://dx.doi.org/10.1021/es301802g
